DATAFLOW,MEASURE,VALUE,SECTOR,WORK_TYPE,BUILDING_TYPE,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2014-01,1169912,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2014-02,1005231,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2014-03,991815,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2014-04,1052646,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2014-05,1126496,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2014-06,1040884,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2014-07,1204178,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2014-08,1048062,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2014-09,1057960,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2014-10,1171452,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2014-11,1123826,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2014-12,1720242,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2015-01,900507,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2015-02,951484,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2015-03,1100640,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2015-04,994984,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2015-05,1341741,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2015-06,1026604,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2015-07,1250935,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2015-08,1299391,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2015-09,907604,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2015-10,918503,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2015-11,782322,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2015-12,978499,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2016-01,736774,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2016-02,838776,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2016-03,876436,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2016-04,1119132,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2016-05,1231468,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2016-06,902788,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2016-07,1135027,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2016-08,906355,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2016-09,882092,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2016-10,782275,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2016-11,1087456,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2016-12,1022410,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2017-01,711535,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2017-02,787136,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2017-03,875682,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2017-04,974195,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2017-05,933544,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2017-06,938730,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2017-07,777279,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2017-08,896448,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2017-09,1016058,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2017-10,867982,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2017-11,884927,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2017-12,1149838,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2018-01,657341,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2018-02,848386,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2018-03,590855,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2018-04,729762,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2018-05,865952,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2018-06,760850,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2018-07,646325,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2018-08,689242,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2018-09,553233,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2018-10,696698,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2018-11,671611,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2018-12,573756,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2019-01,1009496,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2019-02,861467,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2019-03,683451,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2019-04,633288,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2019-05,817444,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2019-06,1066770,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2019-07,632760,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2019-08,1098634,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2019-09,756500,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2019-10,694726,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2019-11,795161,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2019-12,545459,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2020-01,1012859,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2020-02,600438,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2020-03,849954,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2020-04,667661,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2020-05,781829,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2020-06,719665,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2020-07,580504,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2020-08,684423,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2020-09,803024,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2020-10,1208728,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2020-11,900673,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2020-12,969747,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2021-01,849411,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2021-02,1131486,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2021-03,1818667,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2021-04,1348260,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2021-05,1887026,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2021-06,1182786,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2021-07,1049567,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2021-08,1194116,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2021-09,1049306,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2021-10,919717,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2021-11,1266446,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2021-12,909879,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2022-01,687407,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2022-02,712951,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2022-03,1990494,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2022-04,876840,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2022-05,1290252,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2022-06,1319272,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2022-07,927981,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2022-08,1301871,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2022-09,1018799,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2022-10,1019156,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2022-11,1082449,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2022-12,762367,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2023-01,643057,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2023-02,852111,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2023-03,1197128,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2023-04,878578,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2023-05,842765,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2023-06,1213260,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2023-07,1192007,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2023-08,1420807,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2023-09,920768,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2023-10,1693382,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2023-11,1046055,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2023-12,873748,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2024-01,1280214,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2024-02,1112794,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2024-03,1147452,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2024-04,1522393,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2024-05,1629645,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2024-06,1574015,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2024-07,1557815,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2024-08,1540974,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2024-09,1628008,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2024-10,1590949,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2024-11,1705740,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2024-12,1429936,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2025-01,1500095,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2025-02,1606296,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2025-03,1872870,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2025-04,1968301,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2025-05,2009915,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2025-06,1456996,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2025-07,1744003,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2025-08,3165907,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2025-09,1815893,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2025-10,1963846,AUD,3,,
ABS:BA_GCCSA(1.0.0),2,1,9,TOT,TOT,10,5,M,2025-11,1672483,AUD,3,,
