DATAFLOW,MEASURE,VALUE,SECTOR,WORK_TYPE,BUILDING_TYPE,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2014-01,2880,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2014-02,2906,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2014-03,2858,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2014-04,2386,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2014-05,4017,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2014-06,3632,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2014-07,3435,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2014-08,3940,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2014-09,3324,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2014-10,3652,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2014-11,3722,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2014-12,3421,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2015-01,4729,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2015-02,3424,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2015-03,4242,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2015-04,3647,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2015-05,4419,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2015-06,4749,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2015-07,3776,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2015-08,3790,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2015-09,5705,NUM,0,,
